english,target,article
cool,kühl,
long,lang,
short,kurz,
wide,breit,
narrow,schmal,
high,hoch,
low,niedrig,
deep,tief,
flat,flach,
heavy,schwer,
light,leicht,
hard,hart,
soft,weich,
strong,stark,
weak,schwach,
loud,laut,
quiet,leise,
beautiful,schön,
ugly,hässlich,
clean,sauber,
dirty,dreckig,
empty,leer,
full,voll,
open,offen,
closed,geschlossen,
free,frei,
busy,beschäftigt,
easy,einfach,
difficult,schwierig,
possible,möglich,
impossible,unmöglich,
necessary,notwendig,
important,wichtig,
interesting,interessant,
boring,langweilig,
funny,lustig,
serious,ernst,
polite,höflich,
rude,grob,
kind,freundlich,
mean,gemein,
honest,ehrlich,
FALSE,falsch,
TRUE,wahr,
real,echt,
strange,seltsam,
normal,normal,
special,besonders,
simple,einfach,
complex,komplex,
happy,glücklich,
sad,traurig,
angry,wütend,
afraid,ängstlich,
surprised,überrascht,
tired,müde,
hungry,hungrig,
thirsty,durstig,
sick,krank,
healthy,gesund,
rich,reich,
poor,arm,
expensive,teuer,
cheap,billig,
clever,klug,
stupid,dumm,
brave,mutig,
cowardly,feige,
lazy,faul,
diligent,fleißig,
patient,geduldig,
impatient,ungeduldig,
generous,großzügig,
selfish,selbstsüchtig,
ambitious,ehrgeizig,
creative,kreativ,
reliable,zuverlässig,
flexible,flexibel,
shy,schüchtern,
confident,selbstbewusst,
curious,neugierig,
talkative,gesprächig,
sensitive,empfindlich,
stubborn,stur,
naive,naiv,
mature,reif,
good – better – best,gut – besser – am besten,
bad – worse – worst,schlecht – schlechter – am schlechtesten,
big – bigger – biggest,groß – größer – am größten,
small – smaller – smallest,klein – kleiner – am kleinsten,
much – more – most,viel – mehr – am meisten,
little – less – least,wenig – weniger – am wenigsten,
high – higher – highest,hoch – höher – am höchsten,
near – nearer – nearest,nah – näher – am nächsten,
old – older – oldest,alt – älter – am ältesten,
young – younger – youngest,jung – jünger – am jüngsten,
long – longer – longest,lang – länger – am längsten,
expensive – more – most,teuer – teurer – am teuersten,
clever – cleverer – cleverest,klug – klüger – am klügsten,
obvious,offensichtlich,
vague,vage,
significant,bedeutsam,
temporary,vorübergehend,
permanent,dauerhaft,
frequent,häufig,
rare,selten,
regular,regelmäßig,
typical,typisch,
unusual,ungewöhnlich,
unique,einzigartig,
modern,modern,
traditional,traditionell,
ancient,uralt,
dangerous,gefährlich,
safe,sicher,
comfortable,bequem,
uncomfortable,unbequem,
popular,beliebt,
famous,berühmt,
married,verheiratet,
divorced,geschieden,
single,ledig,
educated,gebildet,
experienced,erfahren,
qualified,qualifiziert,
unemployed,arbeitslos,
retired,pensioniert,
now,jetzt,
then,dann,
soon,bald,
later,später,
before,vorher,
after,nachher,
already,schon / bereits,
still,noch,
no longer,nicht mehr,
again,wieder,
always,immer,
never,nie,
often,oft,
sometimes,manchmal,
usually,normalerweise,
rarely,selten,
finally,endlich,
suddenly,plötzlich,
immediately,sofort,
gradually,allmählich,
recently,kürzlich,
nowadays,heutzutage,
daily,täglich,
weekly,wöchentlich,
monthly,monatlich,
yearly,jährlich,
early,früh,
late,spät,
on time,pünktlich,
here,hier,
there,dort,
everywhere,überall,
nowhere,nirgendwo,
somewhere,irgendwo,
upstairs,oben,
downstairs,unten,
inside,drinnen,
outside,draußen,
nearby,in der Nähe,
far away,weit weg,
abroad,im Ausland,
at home,zu Hause,
straight ahead,geradeaus,
to the left,nach links,
to the right,nach rechts,
quickly,schnell,
slowly,langsam,
carefully,vorsichtig,
easily,einfach / leicht,
together,zusammen,
alone,allein,
on purpose,absichtlich,
by chance,zufällig,
accidentally,versehentlich,
gladly,gerne,
reluctantly,ungern,
approximately,ungefähr,
exactly,genau,
almost,fast,
at least,mindestens,
at most,höchstens,
especially,besonders,
mainly,hauptsächlich,
above all,vor allem,
otherwise,sonst,
anyway,sowieso,
actually,eigentlich,
indeed,tatsächlich,
unfortunately,leider,
fortunately,glücklicherweise,
clearly,eindeutig,
apparently,anscheinend,
very,sehr,
quite,ziemlich,
too,zu,
enough,genug,
extremely,äußerst,
fairly,recht,
rather,eher,
more,mehr,
less,weniger,
today,heute,
yesterday,gestern,
tomorrow,morgen,
the day before yesterday,vorgestern,
the day after tomorrow,übermorgen,
last week,letzte Woche,
next week,nächste Woche,
in the morning,morgens,
in the afternoon,nachmittags,
in the evening,abends,
at night,nachts,
through (Akkusativ),durch,
for (Akkusativ),für,
against (Akkusativ),gegen,
without (Akkusativ),ohne,
around (Akkusativ),um,
until / by (Akkusativ),bis,
from (Dativ),von,
with (Dativ),mit,
after / to (Dativ),nach,
since / for (Dativ),seit,
out of (Dativ),aus,
at / by (Dativ),bei,
"to (Dativ, person)",zu,
opposite (Dativ),gegenüber,
except (Dativ),außer,
because of (Genitiv),wegen,
despite (Genitiv),trotz,
during (Genitiv),während,
instead of (Genitiv),statt / anstatt,
in + Dativ (location),in (Dativ),
in + Akkusativ (movement),in (Akkusativ),
on + Dativ (location),auf (Dativ),
on + Akkusativ (movement),auf (Akkusativ),
next to (Dativ),neben (Dativ),
between (Dativ),zwischen (Dativ),
behind (Dativ),hinter (Dativ),
in front of (Dativ),vor (Dativ),
above (Dativ),über (Dativ),
below (Dativ),unter (Dativ),
in the → im,in + dem → im,
at the → am,an + dem → am,
to the → zum,zu + dem → zum,
to the (f) → zur,zu + der → zur,
from the → vom,von + dem → vom,
at the → beim,bei + dem → beim,
into the → ins,in + das → ins,
onto the → ans,an + das → ans,
and,und,
or,oder,
but,aber,
because (coord.),denn,
because (subord.),weil,
although,obwohl,
if / when,wenn,
when (past),als,
while,während,
since,seit / da,
until,bis,
so that,damit,
in order to,um ... zu,
as soon as,sobald,
as long as,solange,
whether,ob,
that (subord.),dass,
however,jedoch / allerdings,
therefore,deshalb / daher,
moreover,außerdem,
nevertheless,trotzdem,
on the other hand,andererseits,
in addition,zusätzlich,
for example,zum Beispiel,
in other words,mit anderen Worten,
both ... and ...,sowohl ... als auch ...,
either ... or ...,entweder ... oder ...,
neither ... nor ...,weder ... noch ...,
not only ... but also ...,nicht nur ... sondern auch ...,
not,nicht,
no / not a (m),kein,
no / not a (f),keine,
no / not a (n),kein,
never,nie / niemals,
not at all,gar nicht,
not yet,noch nicht,
no longer,nicht mehr,
to get up,aufstehen,
to wake up,aufwachen,
to put on (clothes),anziehen,
to take off (clothes),ausziehen,
to arrive,ankommen,
to depart,abfahren,
to get in (vehicle),einsteigen,
to get out (vehicle),aussteigen,
to go out,ausgehen,
to come back,zurückkommen,
to bring along,mitbringen,
to take along,mitnehmen,
to come along,mitkommen,
to call (phone),anrufen,
to call back,zurückrufen,
to turn on,einschalten / anmachen,
to turn off,ausschalten / ausmachen,
to open,aufmachen,
to close,zumachen,
to fill in / complete,ausfüllen,
to pick up,abholen,
to hand in,abgeben,
to try on,anprobieren,
to look at,ansehen,
to write down,aufschreiben,
to listen to,zuhören,
to look up (a word),nachschlagen,
to throw away,wegwerfen,
to clean up,aufräumen,
to prepare,vorbereiten,
to imagine,sich vorstellen,
to take part,teilnehmen,
to agree / arrange,ausmachen,
to add,hinzufügen,
to break off,abbrechen,
to give back,zurückgeben,
to find out,herausfinden,
to read through,durchlesen,
to charge (battery),aufladen,
to forward,weiterleiten,
He gets up early.,Er steht früh auf.,
She calls her mother.,Sie ruft ihre Mutter an.,
We arrive at seven.,Wir kommen um sieben Uhr an.,
Turn off the light!,Mach das Licht aus!,
She tries on the dress.,Sie probiert das Kleid an.,
He fills in the form.,Er füllt das Formular aus.,
I write down the word.,Ich schreibe das Wort auf.,
They pick me up.,Sie holen mich ab.,
Clean up your room!,Räum dein Zimmer auf!,
He looks the word up.,Er schlägt das Wort nach.,
to wash oneself,sich waschen,
to comb one's hair,sich kämmen,
to shave,sich rasieren,
to brush one's teeth,sich die Zähne putzen,
to sit down,sich setzen,
to lie down,sich hinlegen,
to feel (well/ill),sich fühlen,
to enjoy oneself,sich amüsieren,
to relax,sich entspannen,
to hurry,sich beeilen,
to remember,sich erinnern (an),
to be interested in,sich interessieren für,
to worry about,sich Sorgen machen um,
to look forward to,sich freuen auf,
to be happy about,sich freuen über,
to get used to,sich gewöhnen an,
to complain about,sich beschweren über,
to apologize,sich entschuldigen,
to introduce oneself,sich vorstellen,
to meet (each other),sich treffen,
to fall in love,sich verlieben,
to be wrong,sich irren,
to concentrate,sich konzentrieren,
to turn around,sich umdrehen,
I feel sick.,Ich fühle mich krank.,
She hurries.,Sie beeilt sich.,
He sits down.,Er setzt sich.,
I remember him.,Ich erinnere mich an ihn.,
He apologizes.,Er entschuldigt sich.,
They fall in love.,Sie verlieben sich.,
Hello!,Hallo!,
Good morning!,Guten Morgen!,
Good afternoon!,Guten Tag!,
Good evening!,Guten Abend!,
Good night!,Gute Nacht!,
Goodbye!,Auf Wiedersehen!,
See you later!,Bis später!,
See you soon!,Bis bald!,
Bye! (informal),Tschüss!,
Hello! (Austrian/Southern),Servus!,
How are you?,Wie geht es Ihnen? / Wie geht's?,
"I'm fine, thank you.","Mir geht es gut, danke.",
Not so well.,Nicht so gut.,
So so.,Es geht so.,
Please.,Bitte.,
Thank you.,Danke.,
Thank you very much.,Vielen Dank.,
You're welcome.,Bitte sehr. / Gern geschehen.,
Excuse me.,Entschuldigung.,
I'm sorry.,Es tut mir leid.,
No problem.,Kein Problem.,
Of course!,Natürlich!,
Good luck!,Viel Glück!,
Have fun!,Viel Spaß!,
Congratulations!,Herzlichen Glückwunsch!,
Happy birthday!,Alles Gute zum Geburtstag!,
Merry Christmas!,Frohe Weihnachten!,
Happy New Year!,Frohes Neues Jahr!,
Cheers!,Prost!,
Bless you!,Gesundheit!,
Get well soon!,Gute Besserung!,
Help!,Hilfe!,
What's your name?,Wie heißen Sie? / Wie heißt du?,
My name is...,Ich heiße... / Mein Name ist...,
Where are you from?,Woher kommen Sie?,
I'm from Hungary.,Ich komme aus Ungarn.,
I live in Berlin.,Ich wohne in Berlin.,
Nice to meet you.,"Schön, Sie kennenzulernen.",
Do you speak German?,Sprechen Sie Deutsch?,
I don't understand.,Ich verstehe nicht.,
Could you repeat that?,Könnten Sie das wiederholen?,
Could you speak more slowly?,Könnten Sie langsamer sprechen?,
What does that mean?,Was bedeutet das?,
How do you say... in German?,Wie sagt man... auf Deutsch?,
Can you help me?,Können Sie mir helfen?,
I would like...,Ich möchte...,
I need...,Ich brauche...,
How much does it cost?,Was kostet das?,
Where is the toilet?,Wo ist die Toilette?,
"The bill, please.","Die Rechnung, bitte.",
Enjoy your meal!,Guten Appetit!,
It was delicious!,Es war köstlich!,
Turn left.,Biegen Sie links ab.,
Turn right.,Biegen Sie rechts ab.,
Go straight ahead.,Gehen Sie geradeaus.,
It's sunny.,Es ist sonnig.,
It's raining.,Es regnet.,
It's snowing.,Es schneit.,
It's cold.,Es ist kalt.,
I think that...,"Ich denke, dass...",
In my opinion...,Meiner Meinung nach...,
I agree.,Ich stimme zu.,
I disagree.,Ich bin anderer Meinung.,
I'm not sure.,Ich bin nicht sicher.,
Maybe.,Vielleicht.,
Definitely.,Auf jeden Fall.,
That's great!,Das ist toll!,
I like it.,Es gefällt mir.,
I don't like it.,Es gefällt mir nicht.,
I'm happy.,Ich bin glücklich.,
I'm tired.,Ich bin müde.,
I'm hungry.,Ich habe Hunger.,
I'm thirsty.,Ich habe Durst.,
I'm in a hurry.,Ich habe es eilig.,
I have time.,Ich habe Zeit.,
Let's go!,Gehen wir! / Lass uns gehen!,
What happened?,Was ist passiert?,
Are you ready?,Bist du fertig?,
How was your day?,Wie war dein Tag?,
Not my cup of tea.,Nicht mein Ding.,
That makes sense.,Das macht Sinn.,
Never mind.,Macht nichts.,
It doesn't matter.,Es ist egal.,
Really?!,Wirklich?!,
Are you serious?,Im Ernst?,
No way!,Nicht möglich!,
What a coincidence!,Was für ein Zufall!,
I see.,Ich verstehe. / Ach so.,
I'll think about it.,Ich werde darüber nachdenken.,
That's a good idea.,Das ist eine gute Idee.,
You're right.,Sie haben recht.,
"One moment, please.","Einen Moment, bitte.",
Keep going!,Mach weiter!,
Don't give up!,Gib nicht auf!,
You can do it!,Du schaffst das!,
I would go,ich würde gehen,
I would buy,ich würde kaufen,
Would you help me?,Würdest du mir helfen?,
I would be,ich wäre,
you would be (sg.),du wärst,
he / she would be,er/sie wäre,
we would be,wir wären,
I would have,ich hätte,
you would have (sg.),du hättest,
he would have,er hätte,
we would have,wir hätten,
I could,ich könnte,
you could (sg.),du könntest,
he could,er könnte,
we could,wir könnten,
I would have to,ich müsste,
he would have to,er müsste,
I should,ich sollte,
he should,er sollte,
If I were rich...,Wenn ich reich wäre...,
If I had more time...,Wenn ich mehr Zeit hätte...,
I wish I could fly.,"Ich wünschte, ich könnte fliegen.",
I would travel if I had money.,"Ich würde reisen, wenn ich Geld hätte.",
"Could you help me, please?",Könntest du mir bitte helfen?,
That would be great.,Das wäre toll.,
It would be better to...,"Es wäre besser,...",
I would prefer...,Ich würde lieber...,
What would you do?,Was würdest du tun?,
I should have said that.,Ich hätte das sagen sollen.,
He could have come.,Er hätte kommen können.,
We should have left earlier.,Wir hätten früher abfahren sollen.,
If only I had known...,Wenn ich das nur gewusst hätte...,
Would you mind if I...?,"Würde es Ihnen etwas ausmachen, wenn ich...?",
I'd appreciate it if you could...,"Ich wäre dankbar, wenn Sie...",
to kill two birds with one stone,zwei Fliegen mit einer Klappe schlagen,
to pull someone's leg,jemanden auf den Arm nehmen,
to hit the nail on the head,den Nagel auf den Kopf treffen,
once in a blue moon,alle Jubeljahre einmal,
to break a leg!,Hals- und Beinbruch!,
to be all thumbs,zwei linke Hände haben,
to let the cat out of the bag,die Katze aus dem Sack lassen,
to get cold feet,kalte Füße bekommen,
to be on cloud nine,im siebten Himmel sein,
to sleep on it,eine Nacht darüber schlafen,
to read between the lines,zwischen den Zeilen lesen,
to be in the same boat,im gleichen Boot sitzen,
to spill the beans,alles ausplaudern,
to add fuel to the fire,Öl ins Feuer gießen,
to throw in the towel,das Handtuch werfen,
to be green with envy,grün vor Neid sein,
every cloud has a silver lining,jedes Unglück hat auch sein Gutes,
better late than never,besser spät als nie,
time is money,Zeit ist Geld,
practice makes perfect,Übung macht den Meister,
no pain no gain,ohne Fleiß kein Preis,
the early bird catches the worm,Morgenstund hat Gold im Mund,
to have butterflies in one's stomach,Schmetterlinge im Bauch haben,
to be head over heels in love,bis über beide Ohren verliebt sein,
to put one's foot in one's mouth,ins Fettnäpfchen treten,
to be all ears,ganz Ohr sein,
to keep one's fingers crossed,die Daumen drücken,
to hit the road,sich auf den Weg machen,
to go with the flow,mit dem Strom schwimmen,
to scratch the surface,nur an der Oberfläche kratzen,
to give someone the cold shoulder,jemandem die kalte Schulter zeigen,
to let sleeping dogs lie,schlafende Hunde nicht wecken,
to be on thin ice,auf dünnem Eis stehen,
to make a mountain out of a molehill,aus einer Mücke einen Elefanten machen,
to bite the bullet,in den sauren Apfel beißen,
actions speak louder than words,Taten sagen mehr als Worte,
when pigs fly,wenn Schweine fliegen können,
to have one's hands full,alle Hände voll zu tun haben,
to make a long story short,um es kurz zu fassen,
to cost a pretty penny,eine schöne Stange Geld kosten,
to tie the knot,den Bund fürs Leben schließen,
to call it a day,Feierabend machen,
to be a wolf in sheep's clothing,ein Wolf im Schafspelz sein,
to be behind the times,hinter dem Mond leben,
to be on the same page,auf derselben Wellenlänge sein,
to get the ball rolling,den Ball ins Rollen bringen,
to put all eggs in one basket,alles auf eine Karte setzen,
to take the bull by the horns,den Stier bei den Hörnern packen,
to burn the midnight oil,bis in die Nacht arbeiten,
to bite off more than you can chew,sich zu viel vornehmen,
to lose one's temper,die Fassung verlieren,
football / soccer,Fußball,der
basketball,Basketball,der
volleyball,Volleyball,der
tennis,Tennis,das
swimming,Schwimmen,das
cycling,Radfahren,das
running,Laufen,das
hiking,Wandern,das
skiing,Skifahren,das
snowboarding,Snowboarden,das
yoga,Yoga,das
dancing,Tanzen,das
boxing,Boxen,das
gymnastics,Turnen,das
chess,Schach,das
reading,Lesen,das
painting,Malen,das
photography,Fotografie,die
cooking,Kochen,das
baking,Backen,das
gardening,Gärtnern,das
knitting,Stricken,das
singing,Singen,das
guitar,Gitarre,die
piano,Klavier,das
violin,Geige,die
drums,Schlagzeug,das
concert,Konzert,das
film / movie,Film,der
series,Serie,die
episode,Folge,die
board game,Brettspiel,das
video game,Videospiel,das
to play football,Fußball spielen,
to go swimming,schwimmen gehen,
to go for a run,joggen gehen,
to go cycling,Rad fahren,
to go hiking,wandern gehen,
to go skiing,Ski fahren,
to play chess,Schach spielen,
to do yoga,Yoga machen,
What are your hobbies?,Was sind deine Hobbys?,
I like reading.,Ich lese gerne.,
I love cooking.,Ich liebe es zu kochen.,
I go jogging every morning.,Ich gehe jeden Morgen joggen.,
train ticket,Bahnfahrkarte,die
platform,Bahnsteig,der
boarding pass,Bordkarte,die
suitcase,Koffer,der
hand luggage,Handgepäck,das
checkout (supermarket),Kasse,die
shopping cart,Einkaufswagen,der
price tag,Preisschild,das
business trip,Geschäftsreise,die
business card,Visitenkarte,die
working hours,Arbeitszeit,die
fitting room,Umkleidekabine,die
waiting room,Wartezimmer,das
emergency exit,Notausgang,der
fire extinguisher,Feuerlöscher,der
fire alarm,Feueralarm,der
sports hall,Sporthalle,die
sports club,Sportverein,der
art gallery,Kunstgalerie,die
nature reserve,Naturschutzgebiet,das
hiking trail,Wanderweg,der
mountain top,Berggipfel,der
world record,Weltrekord,der
mother tongue,Muttersprache,die
foreign language,Fremdsprache,die
language course,Sprachkurs,der
Christmas tree,Weihnachtsbaum,der
Christmas market,Weihnachtsmarkt,der
Easter egg,Osterei,das
fireworks,Feuerwerk,das
credit card,Kreditkarte,die
bank account,Bankkonto,das
health insurance,Krankenversicherung,die
blood pressure,Blutdruck,der
first aid kit,Erste-Hilfe-Set,das
climate change,Klimawandel,der
greenhouse effect,Treibhauseffekt,der
renewable energy,erneuerbare Energie,die
solar panel,Solarpanel,das
wind turbine,Windkraftanlage,die
carbon footprint,CO2-Fußabdruck,der
artificial intelligence,Künstliche Intelligenz,die
machine learning,maschinelles Lernen,das
virtual reality,virtuelle Realität,die
operating system,Betriebssystem,das
video call,Videoanruf,der
email address,E-Mail-Adresse,die
phone number,Telefonnummer,die
return ticket,Rückfahrkarte,die
window seat,Fensterplatz,der
room service,Zimmerservice,der
single room,Einzelzimmer,das
double room,Doppelzimmer,das
baggage claim,Gepäckausgabe,die
stopover,Zwischenstopp,der
exchange rate,Wechselkurs,der
travel insurance,Reiseversicherung,die
Come! (du),Komm!,
Go! (du),Geh!,
Wait! (du),Warte!,
Stop! (du),Hör auf!,
Listen! (du),Hör zu!,
Look! (du),Schau!,
Sit down! (du),Setz dich!,
Stand up! (du),Steh auf!,
Come in! (du),Komm rein!,
Be quiet! (du),Sei ruhig!,
Be careful! (du),Pass auf!,
Help me! (du),Hilf mir!,
Read this! (du),Lies das!,
Speak slowly! (du),Sprich langsam!,
Tell me! (du),Erzähl mir!,
Give me! (du),Gib mir!,
Take it! (du),Nimm es!,
Bring it! (du),Bring es!,
Come! (ihr),Kommt!,
Wait! (ihr),Wartet!,
Be quiet! (ihr),Seid ruhig!,
Help me! (ihr),Helft mir!,
Come in! (Sie),Kommen Sie herein!,
Please wait! (Sie),Bitte warten Sie!,
Please sit down! (Sie),Bitte setzen Sie sich!,
Please speak slowly! (Sie),Bitte sprechen Sie langsam!,
Please fill in the form! (Sie),Bitte füllen Sie das Formular aus!,
Please sign here! (Sie),Bitte unterschreiben Sie hier!,
Let's eat!,Essen wir! / Lass uns essen!,
Let's start!,Fangen wir an!,
Turn it off! (du),Mach es aus!,
Turn it on! (du),Mach es an!,
Clean up! (du),Räum auf!,
Get dressed! (du),Zieh dich an!,
'aktuell' = current/topical (NOT 'actual'),aktuell = gegenwärtig (tatsächlich = actual),
'also' = so/therefore (NOT 'also/too'),also = daher (auch = also/too),
'bald' = soon (NOT 'bald'),bald = in Kürze (kahl = bald),
'bekommen' = to get/receive (NOT 'become'),bekommen = erhalten (werden = become),
'Brief' = letter (NOT 'brief'),der Brief = Schreiben (kurz = brief),
'Chef' = boss (NOT 'chef'),der Chef = Boss (Koch = chef),
'eventuell' = possibly (NOT 'eventually'),eventuell = möglicherweise (schließlich = eventually),
'fast' = almost (NOT 'fast'),fast = beinahe (schnell = fast),
'Gift' = poison (NOT 'gift'),das Gift = Poison (Geschenk = gift),
'hell' = bright/light (NOT 'hell'),hell = leuchtend (Hölle = hell),
'Gymnasium' = high school (NOT 'gym'),das Gymnasium = Schule (Turnhalle = gym),
'Handy' = mobile phone (NOT 'handy'),das Handy = Mobiltelefon (praktisch = handy),
'komisch' = funny/strange (NOT 'comic'),komisch = seltsam/lustig (Comic = comic book),
'ordinär' = vulgar (NOT 'ordinary'),ordinär = vulgär (gewöhnlich = ordinary),
'passieren' = to happen (NOT always 'to pass'),passieren = geschehen (vorbeigehen = to pass by),
'sensibel' = sensitive (NOT 'sensible'),sensibel = empfindlich (vernünftig = sensible),
'sympathisch' = likeable (NOT 'sympathetic'),sympathisch = nett (mitfühlend = sympathetic),
'Smoking' = tuxedo (NOT 'smoking'),der Smoking = Abendanzug (Rauchen = smoking),
'spenden' = to donate (NOT 'to spend'),spenden = schenken (ausgeben = to spend),
'still' = quiet (NOT 'still/yet'),still = ruhig (noch = still/yet),
'Wand' = wall (NOT 'wand'),die Wand = wall (Zauberstab = wand),
'wo' = where (NOT 'who'),wo = where (wer = who),
'See' (m) = lake / 'See' (f) = sea,der See = lake / die See = sea,
'Rat' = advice/council (NOT 'rat'),der Rat = Rat/Empfehlung (Ratte = rat),
'irritieren' = to irritate or confuse,irritieren = stören / verwirren,
Where have you been?,Wo warst du?,
I was at the office.,Ich war im Büro.,
I had a lot to do.,Ich hatte viel zu tun.,
Did you have a good day?,Hattest du einen guten Tag?,
It was exhausting.,Es war anstrengend.,
What are your plans for the evening?,Was hast du heute Abend vor?,
I'm staying home.,Ich bleibe zu Hause.,
Would you like to join us?,Möchtest du mitkommen?,
Unfortunately I can't.,Leider kann ich nicht.,
Maybe next time.,Vielleicht beim nächsten Mal.,
Do you have this in a larger size?,Haben Sie das in einer größeren Größe?,
I'd like to try this on.,Ich möchte das anprobieren.,
It fits perfectly.,Es passt perfekt.,
It's a bit too tight.,Es ist etwas zu eng.,
I'll take it.,Ich nehme es.,
Can I pay by card?,Kann ich mit Karte zahlen?,
I'd like to return this.,Ich möchte das zurückgeben.,
"A table for two, please.","Einen Tisch für zwei Personen, bitte.",
What do you recommend?,Was empfehlen Sie?,
I'm a vegetarian.,Ich bin Vegetarier/Vegetarierin.,
Does this contain gluten?,Enthält das Gluten?,
"Excuse me, where is the station?","Entschuldigung, wo ist der Bahnhof?",
It's about 10 minutes on foot.,Es ist ungefähr 10 Minuten zu Fuß.,
Take the first street on the left.,Nehmen Sie die erste Straße links.,
Is it far from here?,Ist es weit von hier?,
Which line do I take?,Welche Linie nehme ich?,
You need to change at the central station.,Sie müssen am Hauptbahnhof umsteigen.,
I have a reservation.,Ich habe eine Reservierung.,
Is breakfast included?,Ist das Frühstück inbegriffen?,
What time is check-out?,Um wie viel Uhr ist der Check-out?,
Where does it hurt?,Wo tut es weh?,
It hurts here.,Hier tut es weh.,
I need a prescription.,Ich brauche ein Rezept.,
Are you taking any medication?,Nehmen Sie Medikamente?,
Do you have any allergies?,Haben Sie Allergien?,
When does the shift start?,Wann beginnt die Schicht?,
I need to take a day off.,Ich muss einen Tag freinehmen.,
The project is on track.,Das Projekt liegt im Zeitplan.,
We missed the deadline.,Wir haben die Frist verpasst.,
Can you send me the report?,Kannst du mir den Bericht schicken?,
I'll get back to you on that.,Ich werde mich diesbezüglich bei dir melden.,
I can't hear you very well.,Ich kann Sie nicht sehr gut hören.,
My battery is almost dead.,Mein Akku ist fast leer.,
Have you tried turning it off and on?,"Hast du versucht, es aus- und einzuschalten?",
I'm looking for...,Ich suche...,
Can you recommend something?,Können Sie etwas empfehlen?,
I'm afraid I don't know.,Das weiß ich leider nicht.,
Could you write that down?,Könnten Sie das aufschreiben?,
What time does the shop close?,Wann schließt der Laden?,
Is this seat taken?,Ist dieser Platz besetzt?,
How long have you been learning German?,Wie lange lernst du schon Deutsch?,
Who?,Wer?,
Whom? (accusative),Wen?,
To whom? (dative),Wem?,
Whose?,Wessen?,
What?,Was?,
Where?,Wo?,
Where to?,Wohin?,
Where from?,Woher?,
When?,Wann?,
Why?,Warum?,
How?,Wie?,
How much?,Wie viel?,
How many?,Wie viele?,
How long?,Wie lange?,
How often?,Wie oft?,
Which? (m),Welcher?,
Which? (f),Welche?,
Which? (n),Welches?,
What kind of?,Was für ein?,
With what?,Womit?,
About what?,Worüber?,
For what?,Wofür?,
With whom?,Mit wem?,
What is your name?,Wie heißt du?,
Where do you live?,Wo wohnst du?,
What do you do?,Was machst du?,
How old are you?,Wie alt bist du?,
Where are you going?,Wohin gehst du?,
When does it start?,Wann fängt es an?,
Why are you late?,Warum kommst du zu spät?,
How long have you been here?,Wie lange bist du schon hier?,
How many people are there?,Wie viele Leute sind da?,
What time is it?,Wie spät ist es?,
Do you understand?,Verstehst du?,
Do you have time?,Hast du Zeit?,
Is everything okay?,Ist alles in Ordnung?,
How does this work?,Wie funktioniert das?,
Did you eat?,Hast du gegessen?,
What are you thinking about?,Woran denkst du?,
What are you looking for?,Wonach suchst du?,
Can I help you?,Kann ich Ihnen helfen?,
Are you coming?,Kommst du?,
Is she here?,Ist sie hier?,
Can you help?,Kannst du helfen?,
Verb always in second position,Das Verb steht immer an zweiter Stelle,
She reads the book.,Sie liest das Buch.,
Yesterday he read the book.,Gestern hat er das Buch gelesen.,
On Monday we have class.,Am Montag haben wir Unterricht.,
Subordinate clause: verb goes to end,Im Nebensatz: Verb geht ans Ende,
I know that he is tired.,"Ich weiß, dass er müde ist.",
He goes because he is hungry.,"Er geht, weil er hungrig ist.",
"Although it rains, I go out.","Obwohl es regnet, gehe ich raus.",
"When I was young, I played football.","Als ich jung war, spielte ich Fußball.",
Separable prefix at end of main clause,Trennbares Präfix am Ende des Hauptsatzes,
He turns off the light.,Er macht das Licht aus.,
She picks up her friend.,Sie holt ihre Freundin ab.,
I can swim.,Ich kann schwimmen.,
She must work.,Sie muss arbeiten.,
I have eaten. (Perfekt),Ich habe gegessen.,
She has gone. (Perfekt),Sie ist gegangen.,
Dative before Accusative (nouns),Dativ vor Akkusativ bei Nomen,
He gives the woman the book.,Er gibt der Frau das Buch.,
He gives it to her. (pronouns),Er gibt es ihr.,
Time – Manner – Place order,Zeit – Art und Weise – Ort (TeKaMoLo),
He doesn't come. (nicht),Er kommt nicht.,
I have no time. (kein),Ich habe keine Zeit.,
Are you coming? (yes/no question),Kommst du?,
I know that she is coming.,"Ich weiß, dass sie kommt.",
She says that it is cold.,"Sie sagt, dass es kalt ist.",
"If you need help, call me.","Wenn du Hilfe brauchst, ruf mich an.",
"Before I go out, I check the weather.","Bevor ich rausgehe, schaue ich das Wetter an.",
"After she ate, she went for a walk.","Nachdem sie gegessen hatte, machte sie einen Spaziergang.",
"While he reads, she cooks.","Während er liest, kocht sie.",
I don't know if he is coming.,"Ich weiß nicht, ob er kommt.",
the man who is standing there,"der Mann, der dort steht",
the book that I read,"das Buch, das ich gelesen habe",
the city where I was born,"die Stadt, in der ich geboren wurde",
to make a decision,eine Entscheidung treffen,
to take a photo,ein Foto machen,
to take a break,eine Pause machen,
to make progress,Fortschritte machen,
to make a mistake,einen Fehler machen,
to make a phone call,einen Anruf machen,
to make an appointment,einen Termin vereinbaren,
to ask a question,eine Frage stellen,
to give an answer,eine Antwort geben,
to give advice,Rat geben,
to give a speech,eine Rede halten,
to give a present,ein Geschenk geben,
to pay attention,aufpassen / achtgeben,
to keep a promise,ein Versprechen halten,
