"english","target"
"How to fall off a chair?","Wie man vom Stuhl fällt?"
"Sideways down and then thud?","Seitlich runter und dann plumps?"
"He shakes his head for a long time first, then makes a tiny gesture with his hand – and only then does it dawn on me what he's getting at.","Er schüttelt erst lange den Kopf, dann macht er eine winzige Bewegung mit der Hand – und da erst wird mir klar, worauf er hinauswill."
"My God, I'm so slow on the uptake.","Mein Gott, steht bei mir einer auf der Leitung."
"Always this bloody embarrassment.","Immer diese Scheißpeinlichkeit."
"Why doesn't he just say it straight out?","Warum redet er nicht Klartext?"
"«No, no!» I call out, waving my hands around in the air as if warding off huge swarms of flies.","«Nee, nee!», rufe ich und winke mit den Händen in der Luft herum, als würde ich riesige Fliegenschwärme abwehren."
"«All correct! I was sitting on the chair and pulled up my trouser leg, and then I saw it and then dizziness and wham. No external forces involved.»","«Alles korrekt! Ich hab auf dem Stuhl gesessen und mein Hosenbein hochgemacht, und dann hab ich das gesehen und dann Schwindel und rums. Keine Fremdeinwirkung.»"
"I know that from the crime show.","Kenn ich aus dem Tatort."
"«So you're certain?»","«Also sicher?»"
"«Certain. Yes. And the police officers were completely nice. I even got a glass of water and a tissue. Just dizziness and then sideways down.»","«Sicher. Ja. Und die Polizisten total nett. Ich hab sogar ein Wasser gekriegt und ein Taschentuch. Nur eben Schwindel und dann seitlich runter.»"
"I straighten up in front of the desk and with great acting talent let myself tip halfway to the right twice.","Ich richte mich vor dem Schreibtisch auf und lasse mich schauspielerisch hochbegabt zweimal halb nach rechts kippen."
"«Good», says the doctor slowly.","«Gut», sagt der Arzt langsam."
"He scribbles something on a piece of paper.","Er kritzelt etwas auf ein Papier."
"«Just wanted to know. Still irresponsible. Blood loss... should have really... doesn't look like it either.»","«Wollt ich nur wissen. Trotzdem unverantwortlich. Blutverlust... hätte man wirklich... sieht auch nicht so aus.»"
"He closes the green folder and looks at me for a long time.","Er schließt den grünen Ordner und schaut mich lange an."
"«And I don't know, maybe it's none of my business – but I would be curious. You don't have to answer if you don't want to. But – what were you actually trying to do there? Or where were you going?»","«Und ich weiß ja nicht, geht mich vielleicht auch nichts an – aber das würde mich jetzt doch mal interessieren. Du musst nicht antworten, wenn du nicht magst. Aber – was wolltet ihr denn da eigentlich? Oder wohin?»"
"«As I said, you don't have to say. I'm only asking out of interest.»","«Wie gesagt, du musst es nicht sagen. Ich frag nur interessehalber.»"
"«I would tell you. But if I tell you, you won't believe me anyway. I think.»","«Ich würd's Ihnen sagen. Aber wenn ich's Ihnen sage, glauben Sie's eh nicht. Glaube ich.»"
"«I believe everything you say.» He smiles pleasantly. Matey.","«Ich glaub dir alles.» Er lächelt freundlich. Kumpelhaft."
"«It's silly.»","«Es ist albern.»"
"«What's silly?»","«Was ist schon albern?»"
"«It's... well. We actually wanted to go to Wallachia. See, you do think it's silly.»","«Das ist... na ja. Wir wollten eigentlich in die Walachei. Sehen Sie, Sie finden's doch albern.»"
"«I don't think it's silly, I just didn't understand. Where?»","«Ich find's nicht albern, ich hab's nur nicht verstanden. Wohin?»"
"«To Wallachia.»","«In die Walachei.»"
"«Where's that supposed to be?» He looks at me with interest, and I can feel myself going red.","«Wo soll das sein?» Er sieht mich interessiert an, und ich spüre, dass ich rot werde."
"We don't go into it any further.","Wir vertiefen das dann nicht weiter."
"At the end we shake hands like grown-ups, and I'm somehow glad that I didn't have to overstrain his duty of confidentiality.","Zum Schluss geben wir uns noch die Hand wie erwachsene Menschen, und ich bin irgendwie froh, dass ich seine Schweigepflicht nicht überstrapazieren musste."
