"english","target","hint","explanation","level"
"I could help you move tomorrow.","Ich könnte dir morgen beim Umzug helfen.","könnte expresses possibility or a polite offer.","Mondatváza:
`Pozíció 1 + könnte (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („könnte”) pedig a második mondatrészben.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek. A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket.

Szavak és vonzatok:
„beim” = „bei dem”; a „helfen” Dativot vonz, a kifejezés jelentése: segíteni a költözésnél.

Gyors igeelemzés:
Ragozott ige: „könnte” (können (Konjunktiv II)); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B1"
"I should really be studying for the exam now.","Ich müsste jetzt eigentlich für die Prüfung lernen.","müsste: hypothetical or softened necessity.","Mondatváza:
`Pozíció 1 + müsste (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („müsste”) pedig a második mondatrészben.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A „für” mindig Akkusativot vonz.

Gyors igeelemzés:
Ragozott ige: „müsste” (müssen (Konjunktiv II)); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B1"
"I should drink less coffee and more water.","Ich sollte weniger Kaffee und mehr Wasser trinken.","sollte often gives advice.","Mondatváza:
`Pozíció 1 + sollte (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („sollte”) pedig a második mondatrészben.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „sollte” (sollen (Konjunktiv II)); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B1"
"I might be allowed to stay longer if there were no class tomorrow.","Ich dürfte länger bleiben, wenn morgen kein Unterricht wäre.","dürfte expresses hypothetical permission.","Mondatváza:
`Pozíció 1 + dürfte (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („dürfte”) pedig a második mondatrészben. A kötőszóval vagy kérdőszóval bevezetett mellékmondatban a ragozott ige a tagmondat végére kerül. Ha a mellékmondat áll elöl, az egész mellékmondat tölti ki a főmondat első helyét, ezért utána rögtön a főmondati ige következik.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „dürfte” (dürfen (Konjunktiv II)); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B1"
"Could you please close the window?","Könntest du bitte das Fenster schließen?","Polite request with Konjunktiv II.","Mondatváza:
`Pozíció 1 + Könntest (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („Könntest”) pedig a második mondatrészben.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „Könntest” (können (Konjunktiv II)); hozzávetőleges helye: 1. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B1"
"I would have said that the train leaves at eight.","Ich hätte gesagt, dass der Zug um acht fährt.","Past hypothetical: hätte + Partizip II.","Mondatváza:
`Pozíció 1 + hätte (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („hätte”) pedig a második mondatrészben. A kötőszóval vagy kérdőszóval bevezetett mellékmondatban a ragozott ige a tagmondat végére kerül. Ha a mellékmondat áll elöl, az egész mellékmondat tölti ki a főmondat első helyét, ezért utána rögtön a főmondati ige következik.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „hätte” (haben (Konjunktiv II)); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B1"
"Without the rain, I would have walked.","Ohne den Regen wäre ich zu Fuß gegangen.","Past hypothetical movement: wäre + Partizip II.","Mondatváza:
`Pozíció 1 + wäre (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
A mondat első helyét a kiemelt körülmény („Ohne …”) foglalja el; emiatt az alany a ragozott ige után következik. A német főmondatban a ragozott ige ettől még a második mondatrész marad.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „wäre” (sein (Konjunktiv II)); hozzávetőleges helye: 4. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B1"
"With that pain, he should have called the doctor immediately.","Bei diesen Schmerzen hätte er sofort den Arzt rufen müssen.","Past obligation: hätte + infinitive + modal.","Mondatváza:
`Pozíció 1 + hätte (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
A mondat első helyét a kiemelt körülmény („Bei …”) foglalja el; emiatt az alany a ragozott ige után következik. A német főmondatban a ragozott ige ettől még a második mondatrész marad. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „hätte” (haben (Konjunktiv II)); hozzávetőleges helye: 4. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B2"
"She should not have relied on the satnav alone.","Sie hätte sich nicht allein auf das Navi verlassen dürfen.","Past prohibition: hätte + double infinitive.","Mondatváza:
`Pozíció 1 + hätte (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („hätte”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
A „nicht” közvetlenül azt az elemet vagy igei jelentést előzi meg, amelyet tagad; teljes állítás tagadásakor gyakran a mondatzáró igei rész előtt áll.

Szavak és vonzatok:
A „sich verlassen auf” állandó vonzat: auf + Akkusativ.

Gyors igeelemzés:
Ragozott ige: „hätte” (haben (Konjunktiv II)); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B2"
"I would rather stay until the rain stops.","Ich würde lieber bleiben, bis der Regen aufhört.","würde lieber + infinitive expresses preference.","Mondatváza:
`Pozíció 1 + würde (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („würde”) pedig a második mondatrészben. A kötőszóval vagy kérdőszóval bevezetett mellékmondatban a ragozott ige a tagmondat végére kerül. Ha a mellékmondat áll elöl, az egész mellékmondat tölti ki a főmondat első helyét, ezért utána rögtön a főmondati ige következik.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „würde” (werden (Konjunktiv II)); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B1"
"I would feel sick if I had to read during the journey.","Mir würde übel, wenn ich während der Fahrt lesen müsste.","Dative feeling phrase in Konjunktiv II.","Mondatváza:
`Pozíció 1 + würde (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („würde”) pedig a második mondatrészben. A kötőszóval vagy kérdőszóval bevezetett mellékmondatban a ragozott ige a tagmondat végére kerül. Ha a mellékmondat áll elöl, az egész mellékmondat tölti ki a főmondat első helyét, ezért utána rögtön a főmondati ige következik.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „würde” (werden (Konjunktiv II)); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B1"
"I saw a fox in the park yesterday.","Ich habe gestern einen Fuchs im Park gesehen.","Perfekt: haben + irregular participle.","Mondatváza:
`Pozíció 1 + habe (V2) + középmező + Partizip II / további infinitív`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („habe”) pedig a második mondatrészben. Perfektben a haben/sein segédige ragozott alakja áll V2-ben, a Partizip II pedig a főmondat végén zárja a mondatkeretet.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek. A hely- vagy irányhatározó rendszerint a tárgyak/idő után, de a mondatzáró igei rész előtt helyezkedik el.

Szavak és vonzatok:
Beszélt nyelvben az „ich habe” végéről gyakran elmarad az -e: „ich hab”.

Gyors igeelemzés:
Ragozott ige: „habe” (haben); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A1"
"She finally told me the truth.","Sie hat mir endlich die Wahrheit gesagt.","Perfekt: haben + Partizip II.","Mondatváza:
`Pozíció 1 + hat (V2) + középmező + Partizip II / további infinitív`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („hat”) pedig a második mondatrészben. Perfektben a haben/sein segédige ragozott alakja áll V2-ben, a Partizip II pedig a főmondat végén zárja a mondatkeretet.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek. A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „hat” (haben); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A1"
"I thought about you all day.","Ich habe den ganzen Tag an dich gedacht.","denken an + accusative.","Mondatváza:
`Pozíció 1 + habe (V2) + középmező + Partizip II / további infinitív`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („habe”) pedig a második mondatrészben. Perfektben a haben/sein segédige ragozott alakja áll V2-ben, a Partizip II pedig a főmondat végén zárja a mondatkeretet.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A „denken an” állandó vonzat: an + Akkusativ. Beszélt nyelvben az „ich habe” végéről gyakran elmarad az -e: „ich hab”.

Gyors igeelemzés:
Ragozott ige: „habe” (haben); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"The old picture hung above the sofa for years.","Das alte Bild hat jahrelang über dem Sofa gehangen.","Intransitive hängen forms gehangen.","Mondatváza:
`Pozíció 1 + hat (V2) + középmező + Partizip II / további infinitív`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („hat”) pedig a második mondatrészben. Perfektben a haben/sein segédige ragozott alakja áll V2-ben, a Partizip II pedig a főmondat végén zárja a mondatkeretet.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek.

Szavak és vonzatok:
A „über” itt helyet jelöl, ezért Dativ.

Gyors igeelemzés:
Ragozott ige: „hat” (haben); hozzávetőleges helye: 4. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B1"
"Nobody knew where the key was.","Niemand hat gewusst, wo der Schlüssel war.","Irregular Partizip II: gewusst.","Mondatváza:
`Pozíció 1 + hat (V2) + középmező + Partizip II / további infinitív`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („hat”) pedig a második mondatrészben. Perfektben a haben/sein segédige ragozott alakja áll V2-ben, a Partizip II pedig a főmondat végén zárja a mondatkeretet. A kötőszóval vagy kérdőszóval bevezetett mellékmondatban a ragozott ige a tagmondat végére kerül. Ha a mellékmondat áll elöl, az egész mellékmondat tölti ki a főmondat első helyét, ezért utána rögtön a főmondati ige következik.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „hat” (haben); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"I found my glasses in the fridge.","Ich habe meine Brille im Kühlschrank gefunden.","Irregular Partizip II: gefunden.","Mondatváza:
`Pozíció 1 + habe (V2) + középmező + Partizip II / további infinitív`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („habe”) pedig a második mondatrészben. Perfektben a haben/sein segédige ragozott alakja áll V2-ben, a Partizip II pedig a főmondat végén zárja a mondatkeretet.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
Beszélt nyelvben az „ich habe” végéről gyakran elmarad az -e: „ich hab”.

Gyors igeelemzés:
Ragozott ige: „habe” (haben); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"The child hopped barefoot through the puddles.","Das Kind ist barfuß durch die Pfützen gehüpft.","Movement Perfekt: sein + Partizip II.","Mondatváza:
`Pozíció 1 + ist (V2) + középmező + Partizip II / további infinitív`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („ist”) pedig a második mondatrészben. Perfektben a haben/sein segédige ragozott alakja áll V2-ben, a Partizip II pedig a főmondat végén zárja a mondatkeretet.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „ist” (sein); hozzávetőleges helye: 3. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"My phone fell into my soup.","Mein Handy ist mir in die Suppe gefallen.","Movement Perfekt uses sein.","Mondatváza:
`Pozíció 1 + ist (V2) + középmező + Partizip II / további infinitív`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („ist”) pedig a második mondatrészben. Perfektben a haben/sein segédige ragozott alakja áll V2-ben, a Partizip II pedig a főmondat végén zárja a mondatkeretet.

A középmező logikája:
A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket.

Szavak és vonzatok:
Az „in” irányt/mozgás végpontját jelöli, ezért Akkusativ.

Gyors igeelemzés:
Ragozott ige: „ist” (sein); hozzávetőleges helye: 3. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"My sister arrived surprisingly early.","Meine Schwester ist überraschend früh gekommen.","Movement Perfekt uses sein.","Mondatváza:
`Pozíció 1 + ist (V2) + középmező + Partizip II / további infinitív`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („ist”) pedig a második mondatrészben. Perfektben a haben/sein segédige ragozott alakja áll V2-ben, a Partizip II pedig a főmondat végén zárja a mondatkeretet.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „ist” (sein); hozzávetőleges helye: 3. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A1"
"After the argument, he went home alone.","Nach dem Streit ist er allein nach Hause gegangen.","Movement Perfekt uses sein.","Mondatváza:
`Pozíció 1 + ist (V2) + középmező + Partizip II / további infinitív`

Szórend – miért így:
A mondat első helyét a kiemelt körülmény („Nach …”) foglalja el; emiatt az alany a ragozott ige után következik. A német főmondatban a ragozott ige ettől még a második mondatrész marad. Perfektben a haben/sein segédige ragozott alakja áll V2-ben, a Partizip II pedig a főmondat végén zárja a mondatkeretet.

A középmező logikája:
A hely- vagy irányhatározó rendszerint a tárgyak/idő után, de a mondatzáró igei rész előtt helyezkedik el.

Szavak és vonzatok:
„nach Hause” irányt jelent: haza. Helyben: „zu Hause”.

Gyors igeelemzés:
Ragozott ige: „ist” (sein); hozzávetőleges helye: 4. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A1"
"I imagined the conversation would be much more difficult.","Ich habe mir das Gespräch viel schwieriger vorgestellt.","Reflexive Perfekt uses haben.","Mondatváza:
`Pozíció 1 + habe (V2) + középmező + Partizip II / további infinitív`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („habe”) pedig a második mondatrészben. Perfektben a haben/sein segédige ragozott alakja áll V2-ben, a Partizip II pedig a főmondat végén zárja a mondatkeretet.

A középmező logikája:
A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket.

Szavak és vonzatok:
Beszélt nyelvben az „ich habe” végéről gyakran elmarad az -e: „ich hab”.

Gyors igeelemzés:
Ragozott ige: „habe” (haben); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"I woke up before the alarm today.","Ich bin heute vor dem Wecker aufgewacht.","Change of state Perfekt uses sein.","Mondatváza:
`Pozíció 1 + bin (V2) + középmező + Partizip II / további infinitív`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („bin”) pedig a második mondatrészben. Perfektben a haben/sein segédige ragozott alakja áll V2-ben, a Partizip II pedig a főmondat végén zárja a mondatkeretet.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek.

Szavak és vonzatok:
A „vor” itt időbeli viszony, ezért Dativ.

Gyors igeelemzés:
Ragozott ige: „bin” (sein); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"We did not get up until ten on Sunday.","Wir sind am Sonntag erst um zehn aufgestanden.","Separable movement verb uses sein.","Mondatváza:
`Pozíció 1 + sind (V2) + középmező + Partizip II / további infinitív`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („sind”) pedig a második mondatrészben. Perfektben a haben/sein segédige ragozott alakja áll V2-ben, a Partizip II pedig a főmondat végén zárja a mondatkeretet.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „sind” (sein); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"I fell asleep immediately on the train.","Im Zug bin ich sofort eingeschlafen.","Change of state Perfekt uses sein.","Mondatváza:
`Pozíció 1 + bin (V2) + középmező + Partizip II / további infinitív`

Szórend – miért így:
A mondat első helyét a kiemelt körülmény („Im …”) foglalja el; emiatt az alany a ragozott ige után következik. A német főmondatban a ragozott ige ettől még a második mondatrész marad. Perfektben a haben/sein segédige ragozott alakja áll V2-ben, a Partizip II pedig a főmondat végén zárja a mondatkeretet.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „bin” (sein); hozzávetőleges helye: 3. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"We stayed at home because of the storm.","Wegen des Sturms sind wir zu Hause geblieben.","bleiben forms Perfekt with sein.","Mondatváza:
`Pozíció 1 + sind (V2) + középmező + Partizip II / további infinitív`

Szórend – miért így:
A mondat első helyét a kiemelt körülmény („Wegen …”) foglalja el; emiatt az alany a ragozott ige után következik. A német főmondatban a ragozott ige ettől még a második mondatrész marad. Perfektben a haben/sein segédige ragozott alakja áll V2-ben, a Partizip II pedig a főmondat végén zárja a mondatkeretet.

A középmező logikája:
A hely- vagy irányhatározó rendszerint a tárgyak/idő után, de a mondatzáró igei rész előtt helyezkedik el.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „sind” (sein); hozzávetőleges helye: 4. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"Fortunately, nobody was hurt in the accident.","Zum Glück ist bei dem Unfall nichts passiert.","passieren forms Perfekt with sein.","Mondatváza:
`Pozíció 1 + ist (V2) + középmező + Partizip II / további infinitív`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („ist”) pedig a második mondatrészben. Perfektben a haben/sein segédige ragozott alakja áll V2-ben, a Partizip II pedig a főmondat végén zárja a mondatkeretet.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A „bei” mindig Dativot vonz; itt esemény közbeni körülményt jelöl.

Gyors igeelemzés:
Ragozott ige: „ist” (sein); hozzávetőleges helye: 3. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"The dog opened the kitchen door at night.","Der Hund hat nachts die Küchentür aufgemacht.","Separable Partizip: prefix + ge + stem.","Mondatváza:
`Pozíció 1 + hat (V2) + középmező + Partizip II / további infinitív`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („hat”) pedig a második mondatrészben. Perfektben a haben/sein segédige ragozott alakja áll V2-ben, a Partizip II pedig a főmondat végén zárja a mondatkeretet.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „hat” (haben); hozzávetőleges helye: 3. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
