english,target,register,tags,note,level
This is the folder.,Das ist der Ordner.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the folder (plural),die Ordner,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the phone,das Telefon,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the phone.,Das ist das Telefon.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the phone (plural),die Telefone,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the computer,der Computer,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the computer.,Das ist der Computer.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the computer (plural),die Computer,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the app,die App,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the app.,Das ist die App.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the app (plural),die Apps,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the language,die Sprache,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the language.,Das ist die Sprache.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the language (plural),die Sprachen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the word,das Wort,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the word.,Das ist das Wort.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the word (plural),die Wörter,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the sentence,der Satz,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the sentence.,Das ist der Satz.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the sentence (plural),die Sätze,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the expression,der Ausdruck,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the expression.,Das ist der Ausdruck.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the expression (plural),die Ausdrücke,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the example,das Beispiel,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the example.,Das ist das Beispiel.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the example (plural),die Beispiele,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the level,das Niveau,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the level.,Das ist das Niveau.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the level (plural),die Niveaus,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the article,der Artikel,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the article.,Das ist der Artikel.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the article (plural),die Artikel,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the plural,der Plural,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the plural.,Das ist der Plural.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the plural (plural),die Plurale,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the grammar,die Grammatik,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the grammar.,Das ist die Grammatik.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the grammar (plural),die Grammatiken,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
I do not want to overthink this.,Ich will mir da nicht zu viele Gedanken machen.,natural,register;thinking;source:german_register_pairs;sentence_builder,,B1
I do not want to overthink this. [alternative],Ich möchte das nicht überanalysieren.,natural,register;thinking;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich will mir da nicht zu viele Gedanken machen..,B1
I do not want to overthink this. [alternative],Ich möchte mich da nicht reinsteigern.,natural,register;thinking;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich will mir da nicht zu viele Gedanken machen..,B1
I do not want to force anything.,Ich möchte nichts erzwingen.,neutral,register;boundary;source:german_register_pairs;sentence_builder,,A2
I do not want to force anything. [alternative],Ich will nichts erzwingen.,neutral,register;boundary;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich möchte nichts erzwingen..,A2
I do not want to force anything. [alternative],Ich möchte da keinen Druck machen.,neutral,register;boundary;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich möchte nichts erzwingen..,A2
That hurt me.,Das hat mich verletzt.,neutral,register;emotion;source:german_register_pairs;sentence_builder,,A2
That hurt me. [alternative],Das hat mich getroffen.,neutral,register;emotion;source:german_register_pairs;sentence_builder;alternative,Alternative for: Das hat mich verletzt..,A2
That hurt me. [alternative],Das tat mir weh.,neutral,register;emotion;source:german_register_pairs;sentence_builder;alternative,Alternative for: Das hat mich verletzt..,A2
I need clarity.,Ich brauche Klarheit.,neutral,register;boundary;source:german_register_pairs;sentence_builder,,B1
I need clarity. [alternative],Ich brauche eine klare Aussage.,neutral,register;boundary;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich brauche Klarheit..,B1
I need clarity. [alternative],"Ich muss wissen, woran ich bin.",neutral,register;boundary;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich brauche Klarheit..,B1
I am not blaming you.,Ich mache dir keinen Vorwurf.,neutral,register;communication;source:german_register_pairs;sentence_builder,,A2
I am not blaming you. [alternative],Ich will dir nichts vorwerfen.,neutral,register;communication;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich mache dir keinen Vorwurf..,A2
I am not blaming you. [alternative],Das ist kein Vorwurf.,neutral,register;communication;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich mache dir keinen Vorwurf..,A2
Do not misunderstand me.,Versteh mich nicht falsch.,natural,register;communication;source:german_register_pairs;sentence_builder,,A2
Do not misunderstand me. [alternative],Bitte missversteh mich nicht.,natural,register;communication;source:german_register_pairs;sentence_builder;alternative,Alternative for: Versteh mich nicht falsch..,A2
Do not misunderstand me. [alternative],Das meine ich nicht böse.,natural,register;communication;source:german_register_pairs;sentence_builder;alternative,Alternative for: Versteh mich nicht falsch..,A2
This came across wrong.,Das kam falsch rüber.,natural,register;communication;source:german_register_pairs;sentence_builder,,B1
This came across wrong. [alternative],Das wurde falsch verstanden.,natural,register;communication;source:german_register_pairs;sentence_builder;alternative,Alternative for: Das kam falsch rüber..,B1
This came across wrong. [alternative],"Das ist anders angekommen, als ich es gemeint habe.",natural,register;communication;source:german_register_pairs;sentence_builder;alternative,Alternative for: Das kam falsch rüber..,B1
That does not work for me.,Das funktioniert für mich so nicht.,neutral,register;boundary;source:german_register_pairs;sentence_builder,,B1
That does not work for me. [alternative],So geht das für mich nicht.,neutral,register;boundary;source:german_register_pairs;sentence_builder;alternative,Alternative for: Das funktioniert für mich so nicht..,B1
That does not work for me. [alternative],Damit kann ich so nicht gut umgehen.,neutral,register;boundary;source:german_register_pairs;sentence_builder;alternative,Alternative for: Das funktioniert für mich so nicht..,B1
I need a moment.,Ich brauche einen Moment.,neutral,register;self-regulation;source:german_register_pairs;sentence_builder,,A2
I need a moment. [alternative],Gib mir bitte kurz Zeit.,neutral,register;self-regulation;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich brauche einen Moment..,A2
I need a moment. [alternative],Ich muss kurz sammeln.,neutral,register;self-regulation;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich brauche einen Moment..,A2
I am trying to stay calm.,"Ich versuche, ruhig zu bleiben.",neutral,register;self-regulation;source:german_register_pairs;sentence_builder,,B1
I am trying to stay calm. [alternative],"Ich versuche, nicht aus der Emotion zu reagieren.",neutral,register;self-regulation;source:german_register_pairs;sentence_builder;alternative,"Alternative for: Ich versuche, ruhig zu bleiben..",B1
I am trying to stay calm. [alternative],Ich will jetzt nicht impulsiv reagieren.,neutral,register;self-regulation;source:german_register_pairs;sentence_builder;alternative,"Alternative for: Ich versuche, ruhig zu bleiben..",B1
Let us clarify this calmly.,Lass uns das in Ruhe klären.,natural,register;communication;source:german_register_pairs;sentence_builder,,B1
Let us clarify this calmly. [alternative],Wir sollten das sachlich klären.,natural,register;communication;source:german_register_pairs;sentence_builder;alternative,Alternative for: Lass uns das in Ruhe klären..,B1
Let us clarify this calmly. [alternative],Lass uns da später in Ruhe drüber sprechen.,natural,register;communication;source:german_register_pairs;sentence_builder;alternative,Alternative for: Lass uns das in Ruhe klären..,B1
This is too much for me right now.,Das ist mir gerade zu viel.,natural,register;emotion;source:german_register_pairs;sentence_builder,,A2
This is too much for me right now. [alternative],Ich bin damit gerade überfordert.,natural,register;emotion;source:german_register_pairs;sentence_builder;alternative,Alternative for: Das ist mir gerade zu viel..,A2
This is too much for me right now. [alternative],Das überfordert mich gerade.,natural,register;emotion;source:german_register_pairs;sentence_builder;alternative,Alternative for: Das ist mir gerade zu viel..,A2
I want to understand you.,Ich möchte dich verstehen.,neutral,register;relationship;source:german_register_pairs;sentence_builder,,A2
I want to understand you. [alternative],"Ich will nachvollziehen, was in dir passiert.",neutral,register;relationship;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich möchte dich verstehen..,A2
I want to understand you. [alternative],"Ich möchte besser verstehen, was du meinst.",neutral,register;relationship;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich möchte dich verstehen..,A2
I cannot read your mind.,Ich kann deine Gedanken nicht lesen.,neutral,register;relationship;source:german_register_pairs;sentence_builder,,B1
I cannot read your mind. [alternative],"Ich kann nicht erraten, was du brauchst.",neutral,register;relationship;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich kann deine Gedanken nicht lesen..,B1
I cannot read your mind. [alternative],"Ich brauche, dass du es mir sagst.",neutral,register;relationship;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich kann deine Gedanken nicht lesen..,B1
I do not want to chase.,Ich möchte nicht hinterherrennen.,natural,register;boundary;source:german_register_pairs;sentence_builder,,B1
I do not want to chase. [alternative],Ich will niemandem hinterherlaufen.,natural,register;boundary;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich möchte nicht hinterherrennen..,B1
I do not want to chase. [alternative],Ich möchte nicht in eine Bittstellerrolle gehen.,natural,register;boundary;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich möchte nicht hinterherrennen..,B1
I care about you.,Du bist mir wichtig.,natural,register;relationship;source:german_register_pairs;sentence_builder,,A2
I care about you. [alternative],Ich habe dich sehr gern.,natural,register;relationship;source:german_register_pairs;sentence_builder;alternative,Alternative for: Du bist mir wichtig..,A2
I care about you. [alternative],Du bedeutest mir viel.,natural,register;relationship;source:german_register_pairs;sentence_builder;alternative,Alternative for: Du bist mir wichtig..,A2
I want to be honest.,Ich möchte ehrlich sein.,neutral,register;communication;source:german_register_pairs;sentence_builder,,A2
I want to be honest. [alternative],Ich sage dir das ganz ehrlich.,neutral,register;communication;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich möchte ehrlich sein..,A2
I want to be honest. [alternative],Mir ist Ehrlichkeit wichtig.,neutral,register;communication;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich möchte ehrlich sein..,A2
That depends.,Das kommt darauf an.,natural,register;thinking;source:german_register_pairs;sentence_builder,,A2
That depends. [alternative],Das hängt davon ab.,natural,register;thinking;source:german_register_pairs;sentence_builder;alternative,Alternative for: Das kommt darauf an..,A2
That depends. [alternative],Es kommt auf die Situation an.,natural,register;thinking;source:german_register_pairs;sentence_builder;alternative,Alternative for: Das kommt darauf an..,A2
This is not about winning.,Es geht nicht ums Gewinnen.,neutral,register;conflict;source:german_register_pairs;sentence_builder,,B1
This is not about winning. [alternative],"Es geht mir nicht darum, recht zu haben.",neutral,register;conflict;source:german_register_pairs;sentence_builder;alternative,Alternative for: Es geht nicht ums Gewinnen..,B1
This is not about winning. [alternative],Ich will keinen Kampf daraus machen.,neutral,register;conflict;source:german_register_pairs;sentence_builder;alternative,Alternative for: Es geht nicht ums Gewinnen..,B1
We are on the same side.,Wir stehen auf derselben Seite.,neutral,register;conflict;source:german_register_pairs;sentence_builder,,B1
We are on the same side. [alternative],Wir sind nicht gegeneinander.,neutral,register;conflict;source:german_register_pairs;sentence_builder;alternative,Alternative for: Wir stehen auf derselben Seite..,B1
We are on the same side. [alternative],"Ich will, dass wir zusammen daran arbeiten.",neutral,register;conflict;source:german_register_pairs;sentence_builder;alternative,Alternative for: Wir stehen auf derselben Seite..,B1
I see this differently.,Ich sehe das anders.,natural,register;disagreement;source:german_register_pairs;sentence_builder,,A2
I see this differently. [alternative],Ich habe da eine andere Sicht.,natural,register;disagreement;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich sehe das anders..,A2
I see this differently. [alternative],Aus meiner Sicht ist das anders.,natural,register;disagreement;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich sehe das anders..,A2
I partly agree.,Ich stimme dir teilweise zu.,neutral,register;disagreement;source:german_register_pairs;sentence_builder,,B1
I partly agree. [alternative],Da bin ich teilweise bei dir.,neutral,register;disagreement;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich stimme dir teilweise zu..,B1
I partly agree. [alternative],Ein Stück weit verstehe ich das.,neutral,register;disagreement;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich stimme dir teilweise zu..,B1
I am not convinced yet.,Ich bin noch nicht überzeugt.,neutral,register;thinking;source:german_register_pairs;sentence_builder,,B1
I am not convinced yet. [alternative],Das überzeugt mich noch nicht ganz.,neutral,register;thinking;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich bin noch nicht überzeugt..,B1
I am not convinced yet. [alternative],Ich bin da noch unsicher.,neutral,register;thinking;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich bin noch nicht überzeugt..,B1
This is probably the cleaner solution.,Das ist wahrscheinlich die sauberere Lösung.,technical,register;work;source:german_register_pairs;sentence_builder,,B1
This is probably the cleaner solution. [alternative],Das ist vermutlich der robustere Weg.,technical,register;work;source:german_register_pairs;sentence_builder;alternative,Alternative for: Das ist wahrscheinlich die sauberere Lösung..,B1
This is probably the cleaner solution. [alternative],Das wäre aus meiner Sicht die stabilere Lösung.,technical,register;work;source:german_register_pairs;sentence_builder;alternative,Alternative for: Das ist wahrscheinlich die sauberere Lösung..,B1
Let us not overcomplicate it.,Lass es uns nicht verkomplizieren.,natural,register;work;source:german_register_pairs;sentence_builder,,B1
Let us not overcomplicate it. [alternative],Lass uns das nicht unnötig kompliziert machen.,natural,register;work;source:german_register_pairs;sentence_builder;alternative,Alternative for: Lass es uns nicht verkomplizieren..,B1
Let us not overcomplicate it. [alternative],Wir sollten es einfach halten.,natural,register;work;source:german_register_pairs;sentence_builder;alternative,Alternative for: Lass es uns nicht verkomplizieren..,B1
This needs a robust solution.,Das braucht eine robuste Lösung.,technical,register;work;source:german_register_pairs;sentence_builder,,B1
This needs a robust solution. [alternative],Wir brauchen hier eine stabile Lösung.,technical,register;work;source:german_register_pairs;sentence_builder;alternative,Alternative for: Das braucht eine robuste Lösung..,B1
This needs a robust solution. [alternative],Das sollte sauber gelöst werden.,technical,register;work;source:german_register_pairs;sentence_builder;alternative,Alternative for: Das braucht eine robuste Lösung..,B1
I would start with the structure.,Ich würde mit der Struktur anfangen.,technical,register;work;source:german_register_pairs;sentence_builder,,B1
I would start with the structure. [alternative],Ich würde zuerst die Struktur klären.,technical,register;work;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich würde mit der Struktur anfangen..,B1
I would start with the structure. [alternative],Aus meiner Sicht sollten wir zuerst die Struktur definieren.,technical,register;work;source:german_register_pairs;sentence_builder;alternative,Alternative for: Ich würde mit der Struktur anfangen..,B1
That is not the root cause.,Das ist nicht die eigentliche Ursache.,technical,register;work;source:german_register_pairs;sentence_builder,,B2
That is not the root cause. [alternative],Das ist wahrscheinlich nur ein Symptom.,technical,register;work;source:german_register_pairs;sentence_builder;alternative,Alternative for: Das ist nicht die eigentliche Ursache..,B2
That is not the root cause. [alternative],Die Ursache liegt vermutlich woanders.,technical,register;work;source:german_register_pairs;sentence_builder;alternative,Alternative for: Das ist nicht die eigentliche Ursache..,B2
This should not break the existing version.,Das sollte die bestehende Version nicht kaputtmachen.,technical,register;dev;source:german_register_pairs;sentence_builder,,B2
This should not break the existing version. [alternative],Das darf die bestehende Version nicht beschädigen.,technical,register;dev;source:german_register_pairs;sentence_builder;alternative,Alternative for: Das sollte die bestehende Version nicht kaputtmachen..,B2
This should not break the existing version. [alternative],Die bestehende Funktionalität muss erhalten bleiben.,technical,register;dev;source:german_register_pairs;sentence_builder;alternative,Alternative for: Das sollte die bestehende Version nicht kaputtmachen..,B2
We should keep it backward-compatible.,Wir sollten es abwärtskompatibel halten.,technical,register;dev;source:german_register_pairs;sentence_builder,,B2
We should keep it backward-compatible. [alternative],Die alte Struktur sollte weiterhin funktionieren.,technical,register;dev;source:german_register_pairs;sentence_builder;alternative,Alternative for: Wir sollten es abwärtskompatibel halten..,B2
We should keep it backward-compatible. [alternative],Die bestehende CSV-Struktur muss weiterhin unterstützt werden.,technical,register;dev;source:german_register_pairs;sentence_builder;alternative,Alternative for: Wir sollten es abwärtskompatibel halten..,B2
hello / good day,Guten Tag,neutral,a1;survival;greeting;source:german_a1_survival;sentence_builder,,A1
hello / good day [alternative],Hallo,neutral,a1;survival;greeting;source:german_a1_survival;sentence_builder;alternative,Alternative for: Guten Tag.,A1
hello / good day [alternative],Guten Morgen,neutral,a1;survival;greeting;source:german_a1_survival;sentence_builder;alternative,Alternative for: Guten Tag.,A1
hello / good day [alternative],Guten Abend,neutral,a1;survival;greeting;source:german_a1_survival;sentence_builder;alternative,Alternative for: Guten Tag.,A1
goodbye,Auf Wiedersehen,neutral,a1;survival;greeting;source:german_a1_survival;sentence_builder,,A1
goodbye [alternative],Tschüss,neutral,a1;survival;greeting;source:german_a1_survival;sentence_builder;alternative,Alternative for: Auf Wiedersehen.,A1
goodbye [alternative],Bis später,neutral,a1;survival;greeting;source:german_a1_survival;sentence_builder;alternative,Alternative for: Auf Wiedersehen.,A1
please,bitte,neutral,a1;politeness;source:german_a1_survival;sentence_builder,,A1
thank you,danke,neutral,a1;politeness;source:german_a1_survival;sentence_builder,,A1
thank you [alternative],Vielen Dank,neutral,a1;politeness;source:german_a1_survival;sentence_builder;alternative,Alternative for: danke.,A1
thank you [alternative],Danke schön,neutral,a1;politeness;source:german_a1_survival;sentence_builder;alternative,Alternative for: danke.,A1
you are welcome,gern geschehen,neutral,a1;politeness;source:german_a1_survival;sentence_builder,,A1
you are welcome [alternative],Bitte schön,neutral,a1;politeness;source:german_a1_survival;sentence_builder;alternative,Alternative for: gern geschehen.,A1
you are welcome [alternative],Kein Problem,neutral,a1;politeness;source:german_a1_survival;sentence_builder;alternative,Alternative for: gern geschehen.,A1
excuse me / sorry,Entschuldigung,neutral,a1;politeness;source:german_a1_survival;sentence_builder,,A1
excuse me / sorry [alternative],Tut mir leid,neutral,a1;politeness;source:german_a1_survival;sentence_builder;alternative,Alternative for: Entschuldigung.,A1
yes,ja,neutral,a1;basic;source:german_a1_survival;sentence_builder,,A1
no,nein,neutral,a1;basic;source:german_a1_survival;sentence_builder,,A1
maybe,vielleicht,neutral,a1;basic;source:german_a1_survival;sentence_builder,,A1
I do not understand.,Ich verstehe nicht.,neutral,a1;survival;source:german_a1_survival;sentence_builder,,A1
"Could you repeat that, please?",Könnten Sie das bitte wiederholen?,formal,a1;survival;source:german_a1_survival;sentence_builder,,A2
"Could you repeat that, please? [alternative]",Kannst du das bitte wiederholen?,formal,a1;survival;source:german_a1_survival;sentence_builder;alternative,Alternative for: Könnten Sie das bitte wiederholen?.,A2
Do you speak English?,Sprechen Sie Englisch?,formal,a1;survival;source:german_a1_survival;sentence_builder,,A1
Do you speak English? [alternative],Sprichst du Englisch?,formal,a1;survival;source:german_a1_survival;sentence_builder;alternative,Alternative for: Sprechen Sie Englisch?.,A1
I speak a little German.,Ich spreche ein bisschen Deutsch.,neutral,a1;survival;source:german_a1_survival;sentence_builder,,A1
I am learning German.,Ich lerne Deutsch.,neutral,a1;survival;source:german_a1_survival;sentence_builder,,A1
I am from Hungary.,Ich komme aus Ungarn.,neutral,a1;intro;source:german_a1_survival;sentence_builder,,A1
My name is Oliver.,Ich heiße Oliver.,neutral,a1;intro;source:german_a1_survival;sentence_builder,,A1
Nice to meet you.,Freut mich.,neutral,a1;intro;source:german_a1_survival;sentence_builder,,A1
Nice to meet you. [alternative],Sehr erfreut,neutral,a1;intro;source:german_a1_survival;sentence_builder;alternative,Alternative for: Freut mich..,A1
How are you?,Wie geht es Ihnen?,formal,a1;smalltalk;source:german_a1_survival;sentence_builder,,A1
How are you? [alternative],Wie geht es dir?,formal,a1;smalltalk;source:german_a1_survival;sentence_builder;alternative,Alternative for: Wie geht es Ihnen?.,A1
"I am fine, thanks.","Mir geht es gut, danke.",neutral,a1;smalltalk;source:german_a1_survival;sentence_builder,,A1
Where is the station?,Wo ist der Bahnhof?,neutral,a1;travel;source:german_a1_survival;sentence_builder,,A1
Where is the toilet?,Wo ist die Toilette?,neutral,a1;travel;source:german_a1_survival;sentence_builder,,A1
Where is the exit?,Wo ist der Ausgang?,neutral,a1;travel;source:german_a1_survival;sentence_builder,,A1
Where is the entrance?,Wo ist der Eingang?,neutral,a1;travel;source:german_a1_survival;sentence_builder,,A1
I am looking for this address.,Ich suche diese Adresse.,neutral,a1;travel;source:german_a1_survival;sentence_builder,,A1
Can you help me?,Können Sie mir helfen?,formal,a1;survival;source:german_a1_survival;sentence_builder,,A1
Can you help me? [alternative],Kannst du mir helfen?,formal,a1;survival;source:german_a1_survival;sentence_builder;alternative,Alternative for: Können Sie mir helfen?.,A1
How much does it cost?,Wie viel kostet das?,neutral,a1;shopping;source:german_a1_survival;sentence_builder,,A1
Can I pay by card?,Kann ich mit Karte zahlen?,neutral,a1;shopping;source:german_a1_survival;sentence_builder,,A1
Can I pay in cash?,Kann ich bar zahlen?,neutral,a1;shopping;source:german_a1_survival;sentence_builder,,A1
I would like a coffee.,Ich hätte gern einen Kaffee.,neutral,a1;food;source:german_a1_survival;sentence_builder,,A1
I would like a coffee. [alternative],Ich möchte einen Kaffee.,neutral,a1;food;source:german_a1_survival;sentence_builder;alternative,Alternative for: Ich hätte gern einen Kaffee..,A1
I would like a beer.,Ich hätte gern ein Bier.,neutral,a1;food;source:german_a1_survival;sentence_builder,,A1
"A table for two, please.","Einen Tisch für zwei, bitte.",neutral,a1;restaurant;source:german_a1_survival;sentence_builder,,A1
"The bill, please.","Die Rechnung, bitte.",neutral,a1;restaurant;source:german_a1_survival;sentence_builder,,A1
Is this free?,Ist das frei?,neutral,a1;restaurant;travel;source:german_a1_survival;sentence_builder,,A1
I have a reservation.,Ich habe eine Reservierung.,neutral,a1;hotel;restaurant;source:german_a1_survival;sentence_builder,,A1
I need a ticket.,Ich brauche eine Fahrkarte.,neutral,a1;travel;source:german_a1_survival;sentence_builder,,A1
"One ticket to Berlin, please.","Eine Fahrkarte nach Berlin, bitte.",neutral,a1;travel;source:german_a1_survival;sentence_builder,,A1
When does the train leave?,Wann fährt der Zug ab?,neutral,a1;travel;source:german_a1_survival;sentence_builder,,A1
When does it arrive?,Wann kommt er an?,neutral,a1;travel;source:german_a1_survival;sentence_builder,,A1
I am lost.,Ich habe mich verlaufen.,neutral,a1;travel;source:german_a1_survival;sentence_builder,,A2
I need a doctor.,Ich brauche einen Arzt.,neutral,a1;emergency;source:german_a1_survival;sentence_builder,,A1
I need a doctor. [alternative],Ich brauche eine Ärztin.,neutral,a1;emergency;source:german_a1_survival;sentence_builder;alternative,Alternative for: Ich brauche einen Arzt..,A1
I do not feel well.,Mir geht es nicht gut.,neutral,a1;health;source:german_a1_survival;sentence_builder,,A1
It hurts here.,Es tut hier weh.,neutral,a1;health;source:german_a1_survival;sentence_builder,,A1
I am allergic to this.,Ich bin dagegen allergisch.,neutral,a1;health;source:german_a1_survival;sentence_builder,,A2
I need water.,Ich brauche Wasser.,neutral,a1;food;health;source:german_a1_survival;sentence_builder,,A1
left,links,neutral,a1;directions;source:german_a1_survival;sentence_builder,,A1
right,rechts,neutral,a1;directions;source:german_a1_survival;sentence_builder,,A1
straight ahead,geradeaus,neutral,a1;directions;source:german_a1_survival;sentence_builder,,A1
nearby,in der Nähe,neutral,a1;directions;source:german_a1_survival;sentence_builder,,A1
today,heute,neutral,a1;time;source:german_a1_survival;sentence_builder,,A1
tomorrow,morgen,neutral,a1;time;source:german_a1_survival;sentence_builder,,A1
yesterday,gestern,neutral,a1;time;source:german_a1_survival;sentence_builder,,A1
now,jetzt,neutral,a1;time;source:german_a1_survival;sentence_builder,,A1
later,später,neutral,a1;time;source:german_a1_survival;sentence_builder,,A1
I am in a hurry.,Ich habe es eilig.,neutral,a1;time;source:german_a1_survival;sentence_builder,,A2
I have time.,Ich habe Zeit.,neutral,a1;time;source:german_a1_survival;sentence_builder,,A1
No problem.,Kein Problem.,neutral,a1;reaction;source:german_a1_survival;sentence_builder,,A1
That is okay.,Das ist in Ordnung.,neutral,a1;reaction;source:german_a1_survival;sentence_builder,,A1
I am sorry.,Es tut mir leid.,neutral,a1;politeness;source:german_a1_survival;sentence_builder,,A1
to be,sein,neutral,core;verb;source:german_core_verbs;sentence_builder,,A1
I am tired.,Ich bin müde.,neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to be → sein.,A1
to have,haben,neutral,core;verb;source:german_core_verbs;sentence_builder,,A1
I have time.,Ich habe Zeit.,neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to have → haben.,A1
to become / to get,werden,neutral,core;verb;source:german_core_verbs;sentence_builder,,A1
It is getting better.,Es wird besser.,neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to become / to get → werden.,A1
to go,gehen,neutral,core;verb;source:german_core_verbs;sentence_builder,,A1
I am going home.,Ich gehe nach Hause.,neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to go → gehen.,A1
to come,kommen,neutral,core;verb;source:german_core_verbs;sentence_builder,,A1
Are you coming with me?,Kommst du mit?,neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to come → kommen.,A1
to do / to make,machen,neutral,core;verb;source:german_core_verbs;sentence_builder,,A1
What are you doing?,Was machst du?,neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to do / to make → machen.,A1
to say,sagen,neutral,core;verb;source:german_core_verbs;sentence_builder,,A1
What did you say?,Was hast du gesagt?,neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to say → sagen.,A1
to speak,sprechen,neutral,core;verb;source:german_core_verbs;sentence_builder,,A1
We need to talk.,Wir müssen sprechen.,neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to speak → sprechen.,A1
to ask,fragen,neutral,core;verb;source:german_core_verbs;sentence_builder,,A1
