"id","lexeme_id","english","target","article","hint","alternatives"
"w0306","de.lex.ich-warte-auf-dich","I am waiting for you.","Ich warte auf dich.","","auf + accusative",""
"w0307","de.lex.ich-spreche-darueber","I am talking about it.","Ich spreche darüber.","","über + accusative; darüber",""
"w0308","de.lex.ich-habe-angst-davor","I am afraid of it.","Ich habe Angst davor.","","vor + dative; davor Related noun article: die.",""
"w0309","de.lex.ich-freue-mich-darauf.i-am-looking-forward-to-it","I am looking forward to it.","Ich freue mich darauf.","","auf + accusative; darauf",""
"w0310","de.lex.es-haengt-davon-ab","It depends on it.","Es hängt davon ab.","","von + dative; davon",""
"w0311","de.lex.ich-stimme-dir-zu","I agree with you.","Ich stimme dir zu.","","dative object",""
"w0312","de.lex.ich-glaube-dir","I believe you.","Ich glaube dir.","","dative object",""
"w0313","de.lex.ich-verstehe-dich","I understand you.","Ich verstehe dich.","","accusative object",""
"w0314","de.lex.du-fehlst-mir","I miss you.","Du fehlst mir.","","Literally: you are missing to me.",""
"w0315","de.lex.das-gefaellt-mir","I like that.","Das gefällt mir.","","",""
"w0316","de.lex.mir-geht-es-gut","I feel good.","Mir geht es gut.","","",""
"w0317","de.lex.ich-rufe-dich-an","I am calling you.","Ich rufe dich an.","","anrufen is separable",""
"w0318","de.lex.ich-komme-mit","I will come along.","Ich komme mit.","","mitkommen is separable",""
"w0319","de.lex.ich-komme-zurueck","I will come back.","Ich komme zurück.","","zurückkommen is separable",""
"w0320","de.lex.ich-fange-jetzt-an","I am starting now.","Ich fange jetzt an.","","anfangen is separable",""
"w0321","de.lex.ich-hoere-jetzt-auf","I am stopping now.","Ich höre jetzt auf.","","aufhören is separable",""
"w0322","de.lex.ich-habe-das-missverstanden","I have misunderstood that.","Ich habe das missverstanden.","","Perfect tense with haben",""
"w0323","de.lex.ich-bin-spaet-zurueckgekommen","I came back late.","Ich bin spät zurückgekommen.","","Movement/change of location often uses sein.",""
"w0324","de.lex.ich-wuerde-sagen-dass","I would say that ...","Ich würde sagen, dass ...","","Konjunktiv II polite/softening.",""
"w0325","de.lex.das-wuerde-ich-lieber-nicht-machen","I would rather not do that.","Das würde ich lieber nicht machen.","","",""
